Iteration	SimID	Obj	Parmaters
1	15	0.705051376275	@[0.14666666666666667, 0.134375, 0.9125, 1.7020833333333334, 0.0215, 0.019375, 0.95, 1.8166666666666669, 0.08229166666666668, 0.081875, 0.007875, 0.0076875]
1	22	0.749805041865	@[0.15833333333333333, 0.14583333333333331, 0.9958333333333333, 1.7937500000000002, 0.0165, 0.015, 0.9166666666666667, 0.9458333333333333, 0.08125, 0.09437500000000001, 0.0086875, 0.0083125]
1	5	0.777495961632	@[0.13, 0.15, 0.9083333333333333, 1.6333333333333333, 0.0295, 0.017083333333333332, 0.9416666666666667, 1.1520833333333333, 0.08958333333333333, 0.09, 0.0099375, 0.0099375]
1	2	0.781409725289	@[0.125, 0.10208333333333333, 0.975, 1.4041666666666668, 0.022, 0.011666666666666667, 0.9916666666666667, 1.3125, 0.06666666666666667, 0.09062500000000001, 0.009062500000000001, 0.0085]
1	11	0.676995746603	@[0.14, 0.10729166666666667, 0.9375, 1.10625, 0.02, 0.018333333333333333, 1.0, 1.3354166666666667, 0.05729166666666667, 0.0925, 0.0070625, 0.0073750000000000005]
1	17	0.727372949811	@[0.15, 0.12708333333333333, 0.9708333333333333, 1.93125, 0.028, 0.012708333333333334, 0.9666666666666667, 1.6791666666666667, 0.07187500000000001, 0.08750000000000001, 0.008125, 0.0095625]
1	3	0.661714799726	@[0.12666666666666665, 0.11458333333333334, 0.8541666666666667, 1.3125, 0.038, 0.014375, 0.9458333333333333, 0.96875, 0.09791666666666668, 0.08812500000000001, 0.00725, 0.008937500000000001]
1	8	0.722286375676	@[0.135, 0.115625, 0.8833333333333333, 1.7708333333333335, 0.03900000000000001, 0.01125, 0.8416666666666667, 1.65625, 0.078125, 0.07750000000000001, 0.0085625, 0.009000000000000001]
1	0	0.803136932002	@[0.12166666666666666, 0.13229166666666667, 0.9916666666666667, 1.65625, 0.0225, 0.010625, 0.9875, 1.4729166666666669, 0.07083333333333333, 0.08375, 0.0095, 0.0073125]
1	4	0.718691912694	@[0.12833333333333333, 0.125, 0.9333333333333333, 1.0375, 0.033, 0.016041666666666666, 0.8333333333333334, 1.51875, 0.08645833333333333, 0.07375000000000001, 0.0074375000000000005, 0.0075625]
1	14	0.689486915941	@[0.145, 0.11979166666666667, 0.9791666666666667, 1.0145833333333334, 0.035500000000000004, 0.016666666666666666, 0.9125, 1.93125, 0.060416666666666674, 0.07437500000000001, 0.0080625, 0.009125000000000001]
1	13	0.668247970171	@[0.14333333333333334, 0.10312500000000001, 0.9833333333333334, 0.9458333333333333, 0.018000000000000002, 0.011458333333333334, 0.8791666666666667, 1.8395833333333333, 0.09479166666666668, 0.08937500000000001, 0.0075, 0.008375]
1	10	0.775506491096	@[0.13833333333333334, 0.13020833333333331, 0.8583333333333334, 1.24375, 0.025500000000000002, 0.010416666666666666, 0.9041666666666667, 0.9229166666666667, 0.058333333333333334, 0.0975, 0.009125000000000001, 0.0081875]
1	19	0.710096651224	@[0.15333333333333332, 0.13333333333333333, 0.8875000000000001, 1.9541666666666666, 0.0395, 0.019166666666666665, 0.8500000000000001, 1.2208333333333334, 0.065625, 0.09875, 0.008875000000000001, 0.0084375]
1	20	0.740524244881	@[0.155, 0.11354166666666667, 0.9875, 1.3354166666666667, 0.0245, 0.01375, 0.9958333333333333, 1.5416666666666667, 0.08854166666666667, 0.085625, 0.00875, 0.009625]
1	21	0.707099494093	@[0.15666666666666668, 0.109375, 0.875, 1.4729166666666669, 0.0205, 0.012291666666666666, 0.9333333333333333, 1.5645833333333332, 0.06354166666666666, 0.07500000000000001, 0.0073750000000000005, 0.007875]
1	16	0.730085104692	@[0.14833333333333334, 0.14687499999999998, 0.8375, 2.0, 0.0335, 0.015625, 0.9208333333333334, 1.1291666666666667, 0.1, 0.07250000000000001, 0.00775, 0.008812500000000001]
1	1	0.723800284091	@[0.12333333333333332, 0.10625000000000001, 0.8458333333333333, 1.8625000000000003, 0.027500000000000004, 0.010208333333333333, 0.8958333333333334, 1.0375, 0.09895833333333334, 0.09187500000000001, 0.0084375, 0.0098125]
1	6	0.682505324278	@[0.13166666666666665, 0.13958333333333334, 0.9, 1.38125, 0.026000000000000002, 0.018125000000000002, 0.9833333333333334, 1.2895833333333333, 0.07604166666666667, 0.09125000000000001, 0.0078125, 0.007625]
1	9	0.723440676484	@[0.13666666666666666, 0.14270833333333333, 0.9625, 1.725, 0.024, 0.017291666666666667, 0.975, 1.0604166666666668, 0.09583333333333334, 0.07062500000000001, 0.007625, 0.008]
1	18	0.730692501588	@[0.15166666666666667, 0.128125, 0.8041666666666667, 1.8395833333333333, 0.026500000000000003, 0.014791666666666668, 0.8458333333333333, 1.7479166666666668, 0.07708333333333334, 0.076875, 0.0073125, 0.009312500000000001]
1	12	0.737427433384	@[0.14166666666666666, 0.12916666666666668, 0.9416666666666667, 1.5645833333333332, 0.037000000000000005, 0.01625, 0.8250000000000001, 1.4958333333333333, 0.09166666666666667, 0.07125000000000001, 0.008812500000000001, 0.0078125]
1	23	0.64957067973	@[0.16, 0.13854166666666667, 0.8500000000000001, 1.7479166666666668, 0.025, 0.0125, 0.875, 1.725, 0.08333333333333334, 0.08625000000000001, 0.0071875, 0.0071875]
1	7	0.642794961607	@[0.13333333333333333, 0.11041666666666666, 0.925, 1.4270833333333335, 0.037500000000000006, 0.013333333333333332, 0.8666666666666667, 1.0145833333333334, 0.096875, 0.095, 0.0076875, 0.0070625]
2	21	0.691853228869	@[0.19666666666666668, 0.14895833333333333, 0.8291666666666667, 1.51875, 0.0345, 0.018541666666666665, 0.8125, 1.6104166666666668, 0.084375, 0.08, 0.008, 0.0085625]
2	19	0.812489312634	@[0.19333333333333336, 0.12604166666666666, 0.8708333333333333, 1.885416666666667, 0.0235, 0.014166666666666668, 0.9708333333333333, 1.4041666666666668, 0.06458333333333334, 0.096875, 0.009625, 0.0095]
2	15	0.710583528723	@[0.18666666666666668, 0.13541666666666666, 0.9208333333333334, 1.1520833333333333, 0.0175, 0.018958333333333334, 0.9625, 1.2666666666666666, 0.07291666666666667, 0.09312500000000001, 0.0085, 0.0080625]
2	4	0.709233387377	@[0.16833333333333333, 0.11770833333333333, 0.9166666666666667, 0.96875, 0.017, 0.011041666666666667, 0.9541666666666667, 1.7020833333333334, 0.08541666666666667, 0.07187500000000001, 0.0081875, 0.008625]
2	8	0.756869414363	@[0.175, 0.11666666666666667, 0.8916666666666667, 1.2208333333333334, 0.035, 0.010833333333333334, 0.8541666666666667, 1.10625, 0.06875, 0.08875000000000001, 0.0091875, 0.009375]
2	17	0.739804842727	@[0.19, 0.11145833333333334, 0.9041666666666667, 1.5416666666666667, 0.0305, 0.012083333333333333, 0.8208333333333334, 1.6333333333333333, 0.07500000000000001, 0.079375, 0.009250000000000001, 0.0094375]
2	23	0.662441815351	@[0.2, 0.11875, 0.8125, 1.2666666666666666, 0.034, 0.019583333333333335, 0.8166666666666667, 1.4500000000000002, 0.08020833333333334, 0.08687500000000001, 0.0075625, 0.00975]
2	0	0.694263717092	@[0.16166666666666668, 0.1125, 0.9541666666666667, 1.175, 0.0315, 0.017708333333333333, 0.9291666666666667, 1.1979166666666667, 0.06770833333333334, 0.084375, 0.009875, 0.009875]
2	10	0.736443855272	@[0.17833333333333334, 0.14791666666666667, 0.8208333333333334, 1.9770833333333333, 0.0385, 0.018750000000000003, 0.925, 1.0833333333333335, 0.05625, 0.08125, 0.0095625, 0.0086875]
2	7	0.768549158449	@[0.17333333333333334, 0.10416666666666667, 0.9666666666666667, 0.9229166666666667, 0.023, 0.014583333333333334, 0.8833333333333333, 1.7937500000000002, 0.05104166666666667, 0.098125, 0.009312500000000001, 0.00825]
2	18	0.680977996441	@[0.19166666666666668, 0.10104166666666667, 0.8958333333333334, 1.2895833333333333, 0.027, 0.013125000000000001, 0.8625, 1.7708333333333335, 0.06145833333333334, 0.080625, 0.007125, 0.007125]
2	12	0.762362808618	@[0.18166666666666667, 0.14375, 0.8666666666666667, 1.8166666666666669, 0.036500000000000005, 0.011875, 0.8041666666666667, 1.5875, 0.09375, 0.078125, 0.01, 0.0096875]
2	16	0.708647256174	@[0.18833333333333335, 0.140625, 0.8791666666666667, 1.4958333333333333, 0.019, 0.016875, 0.9375, 1.9083333333333332, 0.05416666666666667, 0.07562500000000001, 0.009375, 0.01]
2	1	0.715264213082	@[0.16333333333333333, 0.10520833333333333, 0.8083333333333333, 1.1291666666666667, 0.04, 0.015208333333333334, 0.8875000000000001, 1.9770833333333333, 0.06979166666666667, 0.07625000000000001, 0.008375, 0.00875]
2	5	0.74190226661	@[0.17, 0.12291666666666667, 1.0, 1.0833333333333335, 0.030000000000000002, 0.015416666666666665, 0.9583333333333334, 1.175, 0.07395833333333333, 0.09375, 0.00975, 0.00775]
2	22	0.751281521631	@[0.19833333333333336, 0.14479166666666665, 0.9583333333333334, 1.0604166666666668, 0.028999999999999998, 0.02, 0.9083333333333333, 1.885416666666667, 0.052083333333333336, 0.07875000000000001, 0.008625, 0.00725]
2	3	0.702248679077	@[0.16666666666666669, 0.1375, 0.8166666666666667, 1.5875, 0.032, 0.016458333333333335, 0.8083333333333333, 1.38125, 0.0625, 0.085, 0.0083125, 0.0074375000000000005]
2	20	0.764850634987	@[0.195, 0.13645833333333332, 0.95, 1.6104166666666668, 0.0185, 0.015833333333333335, 0.8583333333333334, 1.9541666666666666, 0.053125000000000006, 0.0825, 0.0098125, 0.008125]
2	13	0.734924262849	@[0.18333333333333335, 0.12083333333333333, 0.9458333333333333, 1.6791666666666667, 0.031, 0.019791666666666666, 0.9, 2.0, 0.09270833333333334, 0.07312500000000001, 0.0079375, 0.008875000000000001]
2	11	0.717992851393	@[0.18, 0.121875, 0.8625, 1.3583333333333334, 0.0195, 0.013958333333333333, 0.9791666666666667, 1.4270833333333335, 0.059375000000000004, 0.099375, 0.00825, 0.009250000000000001]
2	2	0.72147628272	@[0.165, 0.14166666666666666, 0.9291666666666667, 1.4500000000000002, 0.036000000000000004, 0.017916666666666664, 0.8708333333333333, 1.3583333333333334, 0.08750000000000001, 0.095625, 0.0096875, 0.0091875]
